season,round,event_link
2022,10,https://www.autosport.com/f1/results/2022/british-gp-539090/
2022,11,https://www.autosport.com/f1/results/2022/austrian-gp-539091/
2022,12,https://www.autosport.com/f1/results/2022/french-gp-539092/
2022,13,https://www.autosport.com/f1/results/2022/hungarian-gp-539093/
2022,14,https://www.autosport.com/f1/results/2022/belgian-gp-539094/
2022,15,https://www.autosport.com/f1/results/2022/dutch-gp-539095/
2022,16,https://www.autosport.com/f1/results/2022/italian-gp-539096/
2022,17,https://www.autosport.com/f1/results/2022/singapore-gp-539098/
2022,18,https://www.autosport.com/f1/results/2022/japanese-gp-539099/
2022,19,https://www.autosport.com/f1/results/2022/united-states-gp-539100/
2022,20,https://www.autosport.com/f1/results/2022/mexico-city-gp/
2022,21,https://www.autosport.com/f1/results/2022/sao-paulo-gp/
2022,22,https://www.autosport.com/f1/results/2022/abu-dhabi-gp-539103/
2023,1,https://www.autosport.com/f1/results/2023/bahrain-gp-625268/
2023,2,https://www.autosport.com/f1/results/2023/saudi-arabian-gp-625272/
2023,3,https://www.autosport.com/f1/results/2023/australian-gp-625276/
2023,4,https://www.autosport.com/f1/results/2023/azerbaijan-gp-625284/
2023,5,https://www.autosport.com/f1/results/2023/miami-gp-625288/
2023,6,https://www.autosport.com/f1/results/2023/monaco-gp-625296/
2023,7,https://www.autosport.com/f1/results/2023/spanish-gp--625603/
2023,8,https://www.autosport.com/f1/results/2023/canadian-gp-625304/
2023,9,https://www.autosport.com/f1/results/2023/austrian-gp-625308/
2023,10,https://www.autosport.com/f1/results/2023/british-gp-625312/
2023,11,https://www.autosport.com/f1/results/2023/hungarian-gp-625316/
2023,12,https://www.autosport.com/f1/results/2023/belgian-gp-625329/
2023,13,https://www.autosport.com/f1/results/2023/dutch-gp-625333/
2023,14,https://www.autosport.com/f1/results/2023/italian-gp-625337/
2023,15,https://www.autosport.com/f1/results/2023/singapore-gp-625341/
2023,16,https://www.autosport.com/f1/results/2023/japanese-gp-625345/
2023,17,https://www.autosport.com/f1/results/2023/qatar-gp-625349/
2023,18,https://www.autosport.com/f1/results/2023/united-states-gp-625353/
2023,19,https://www.autosport.com/f1/results/2023/mexico-city-gp-625357/
2023,20,https://www.autosport.com/f1/results/2023/brazilian-gp-625361/
2023,21,https://www.autosport.com/f1/results/2023/las-vegas-gp/
