season,round,circuit_id,lat,long,country,date,start_time,url
1995,4,catalunya,41.57,2.26111,Spain,1995-05-14,,http://en.wikipedia.org/wiki/1995_Spanish_Grand_Prix
1995,5,monaco,43.7347,7.42056,Monaco,1995-05-28,,http://en.wikipedia.org/wiki/1995_Monaco_Grand_Prix
1995,6,villeneuve,45.5,-73.5228,Canada,1995-06-11,,http://en.wikipedia.org/wiki/1995_Canadian_Grand_Prix
1995,7,magny_cours,46.8642,3.16361,France,1995-07-02,,http://en.wikipedia.org/wiki/1995_French_Grand_Prix
1995,8,silverstone,52.0786,-1.01694,UK,1995-07-16,,http://en.wikipedia.org/wiki/1995_British_Grand_Prix
1995,9,hockenheimring,49.3278,8.56583,Germany,1995-07-30,,http://en.wikipedia.org/wiki/1995_German_Grand_Prix
1995,10,hungaroring,47.5789,19.2486,Hungary,1995-08-13,,http://en.wikipedia.org/wiki/1995_Hungarian_Grand_Prix
1995,11,spa,50.4372,5.97139,Belgium,1995-08-27,,http://en.wikipedia.org/wiki/1995_Belgian_Grand_Prix
1995,12,monza,45.6156,9.28111,Italy,1995-09-10,,http://en.wikipedia.org/wiki/1995_Italian_Grand_Prix
1995,13,estoril,38.7506,-9.39417,Portugal,1995-09-24,,http://en.wikipedia.org/wiki/1995_Portuguese_Grand_Prix
1995,14,nurburgring,50.3356,6.9475,Germany,1995-10-01,,http://en.wikipedia.org/wiki/1995_European_Grand_Prix
1995,15,okayama,34.915,134.221,Japan,1995-10-22,,http://en.wikipedia.org/wiki/1995_Pacific_Grand_Prix
1995,16,suzuka,34.8431,136.541,Japan,1995-10-29,,http://en.wikipedia.org/wiki/1995_Japanese_Grand_Prix
1995,17,adelaide,-34.9272,138.617,Australia,1995-11-12,,http://en.wikipedia.org/wiki/1995_Australian_Grand_Prix
1996,1,albert_park,-37.8497,144.968,Australia,1996-03-10,,http://en.wikipedia.org/wiki/1996_Australian_Grand_Prix
1996,2,interlagos,-23.7036,-46.6997,Brazil,1996-03-31,,http://en.wikipedia.org/wiki/1996_Brazilian_Grand_Prix
1996,3,galvez,-34.6943,-58.4593,Argentina,1996-04-07,,http://en.wikipedia.org/wiki/1996_Argentine_Grand_Prix
1996,4,nurburgring,50.3356,6.9475,Germany,1996-04-28,,http://en.wikipedia.org/wiki/1996_European_Grand_Prix
