season,round,circuit_id,date,url,driver,date_of_birth,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time
2019,2,bahrain,2019-03-31,http://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix,hulkenberg,1987-08-19,German,renault,17,17,6.0,0.0,7.0,6.0,0.0,5.0,1:30.034
2019,2,bahrain,2019-03-31,http://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix,ricciardo,1989-07-01,Australian,renault,10,18,0.0,0.0,19.0,6.0,0.0,5.0,1:29.488
2019,2,bahrain,2019-03-31,http://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix,sainz,1994-09-01,Spanish,mclaren,7,19,0.0,0.0,20.0,0.0,0.0,9.0,1:28.813
2019,2,bahrain,2019-03-31,http://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix,grosjean,1986-04-17,French,haas,11,20,0.0,0.0,18.0,8.0,0.0,4.0,1:29.015
2019,3,shanghai,2019-04-14,http://en.wikipedia.org/wiki/2019_Chinese_Grand_Prix,hamilton,1985-01-07,British,mercedes,2,1,43.0,1.0,2.0,87.0,2.0,1.0,1:31.570
2019,3,shanghai,2019-04-14,http://en.wikipedia.org/wiki/2019_Chinese_Grand_Prix,bottas,1989-08-28,Finnish,mercedes,1,2,44.0,1.0,1.0,87.0,2.0,1.0,1:31.547
2019,3,shanghai,2019-04-14,http://en.wikipedia.org/wiki/2019_Chinese_Grand_Prix,vettel,1987-07-03,German,ferrari,3,3,22.0,0.0,5.0,48.0,0.0,2.0,1:31.848
2019,3,shanghai,2019-04-14,http://en.wikipedia.org/wiki/2019_Chinese_Grand_Prix,max_verstappen,1997-09-30,Dutch,red_bull,5,4,27.0,0.0,3.0,31.0,0.0,3.0,1:32.089
2019,3,shanghai,2019-04-14,http://en.wikipedia.org/wiki/2019_Chinese_Grand_Prix,leclerc,1997-10-16,Monegasque,ferrari,4,5,26.0,0.0,4.0,48.0,0.0,2.0,1:31.865
2019,3,shanghai,2019-04-14,http://en.wikipedia.org/wiki/2019_Chinese_Grand_Prix,gasly,1996-02-07,French,red_bull,6,6,4.0,0.0,10.0,31.0,0.0,3.0,1:32.930
2019,3,shanghai,2019-04-14,http://en.wikipedia.org/wiki/2019_Chinese_Grand_Prix,ricciardo,1989-07-01,Australian,renault,7,7,0.0,0.0,18.0,6.0,0.0,7.0,1:32.958
2019,3,shanghai,2019-04-14,http://en.wikipedia.org/wiki/2019_Chinese_Grand_Prix,perez,1990-01-26,Mexican,racing_point,12,8,1.0,0.0,14.0,3.0,0.0,9.0,1:33.299
2019,3,shanghai,2019-04-14,http://en.wikipedia.org/wiki/2019_Chinese_Grand_Prix,raikkonen,1979-10-17,Finnish,alfa,13,9,10.0,0.0,6.0,10.0,0.0,4.0,1:33.419
2019,3,shanghai,2019-04-14,http://en.wikipedia.org/wiki/2019_Chinese_Grand_Prix,grosjean,1986-04-17,French,haas,10,11,0.0,0.0,19.0,8.0,0.0,6.0,
2019,3,shanghai,2019-04-14,http://en.wikipedia.org/wiki/2019_Chinese_Grand_Prix,stroll,1998-10-29,Canadian,racing_point,16,12,2.0,0.0,12.0,3.0,0.0,9.0,1:34.292
2019,3,shanghai,2019-04-14,http://en.wikipedia.org/wiki/2019_Chinese_Grand_Prix,kevin_magnussen,1992-10-05,Danish,haas,9,13,8.0,0.0,8.0,8.0,0.0,6.0,
2019,3,shanghai,2019-04-14,http://en.wikipedia.org/wiki/2019_Chinese_Grand_Prix,sainz,1994-09-01,Spanish,mclaren,14,14,0.0,0.0,20.0,8.0,0.0,5.0,1:33.523
2019,3,shanghai,2019-04-14,http://en.wikipedia.org/wiki/2019_Chinese_Grand_Prix,giovinazzi,1993-12-14,Italian,alfa,19,15,0.0,0.0,15.0,10.0,0.0,4.0,
2019,3,shanghai,2019-04-14,http://en.wikipedia.org/wiki/2019_Chinese_Grand_Prix,russell,1998-02-15,British,williams,17,16,0.0,0.0,16.0,0.0,0.0,10.0,1:35.253
2019,3,shanghai,2019-04-14,http://en.wikipedia.org/wiki/2019_Chinese_Grand_Prix,kubica,1984-12-07,Polish,williams,18,17,0.0,0.0,17.0,0.0,0.0,10.0,1:35.281
2019,3,shanghai,2019-04-14,http://en.wikipedia.org/wiki/2019_Chinese_Grand_Prix,norris,1999-11-13,British,mclaren,15,18,8.0,0.0,7.0,8.0,0.0,5.0,1:33.967
2019,3,shanghai,2019-04-14,http://en.wikipedia.org/wiki/2019_Chinese_Grand_Prix,kvyat,1994-04-26,Russian,toro_rosso,11,19,1.0,0.0,13.0,3.0,0.0,8.0,1:33.236
